ParName   Value   Gradient
log_F_devs_fish1(1983)    -0.299102 2.24596e-006
log_F_devs_fish1(1984)    -0.377085 1.63499e-006
log_F_devs_fish1(1985)    -0.213916 1.34831e-007
log_F_devs_fish1(1986)     0.252528 1.24314e-006
log_F_devs_fish1(1987)      0.49481 -1.57098e-006
log_F_devs_fish1(1988)     0.587774 -2.29463e-006
log_F_devs_fish1(1989)     0.593072 -6.93311e-007
log_F_devs_fish1(1990)     0.572091 -1.38217e-006
log_F_devs_fish1(1991)     0.507691 -1.21199e-006
log_F_devs_fish1(1992)     0.439335 -6.49122e-007
log_F_devs_fish1(1993)     0.570269 9.45216e-007
log_F_devs_fish1(1994)     0.545146 1.70064e-006
log_F_devs_fish1(1995)     0.362376 -1.09766e-007
log_F_devs_fish1(1996)     0.251755 1.79996e-006
log_F_devs_fish1(1997)     0.171459 1.68757e-006
log_F_devs_fish1(1998)     0.191808 2.50914e-006
log_F_devs_fish1(1999)     0.184359 2.00055e-006
log_F_devs_fish1(2000)     0.382373 -1.25552e-006
log_F_devs_fish1(2001)     0.291702 1.42421e-006
log_F_devs_fish1(2002)     0.284885 7.88137e-007
log_F_devs_fish1(2003)     0.399225 2.40587e-006
log_F_devs_fish1(2004)     0.461368 3.76997e-006
log_F_devs_fish1(2005)      0.35801 3.30139e-006
log_F_devs_fish1(2006)     0.296828 1.22946e-006
log_F_devs_fish1(2007)     0.344394   1.522e-006
log_F_devs_fish1(2008)     0.288867 -1.27386e-006
log_F_devs_fish1(2009)     0.225756 1.71296e-006
log_F_devs_fish1(2010)     0.180019 8.68735e-007
log_F_devs_fish1(2011)     0.303035 1.88876e-006
log_F_devs_fish1(2012)     0.403978 3.26931e-007
log_F_devs_fish1(2013)      0.40512 1.30923e-006
log_F_devs_fish1(2014)     0.239436 4.40892e-007
log_F_devs_fish1(2015)      0.21067 -6.9797e-007
log_F_devs_fish1(2016)    0.0451438 2.08965e-006
log_F_devs_fish1(2017)    0.0904157 1.42972e-006
log_F_devs_fish1(2018)  -0.00763642 1.32281e-006
log_F_devs_fish1(2019)    -0.142191 1.67492e-006
log_F_devs_fish1(2020)    -0.370726 3.60786e-007
log_F_devs_fish1(2021)    -0.211585  2.1482e-006
log_F_devs_fish1(2022)   -0.0619774 2.11811e-006
log_avg_F_fish3     -4.67069 4.79121e-006
log_F_devs_fish3(1960)     -4.23609 -1.81192e-007
log_F_devs_fish3(1961)     -4.29607 4.62574e-007
log_F_devs_fish3(1962)     -4.31282 -6.6418e-007
log_F_devs_fish3(1963)    0.0642891 6.88804e-007
log_F_devs_fish3(1964)    -0.370983 1.18259e-006
log_F_devs_fish3(1965)     0.322931 7.41483e-007
log_F_devs_fish3(1966)       0.7829 5.13719e-007
log_F_devs_fish3(1967)      1.10654 7.10419e-007
log_F_devs_fish3(1968)      1.44439 -9.90251e-007
log_F_devs_fish3(1969)      1.61645 -1.52505e-006
log_F_devs_fish3(1970)      1.36702 2.38719e-007
log_F_devs_fish3(1971)      1.77382 1.37552e-006
log_F_devs_fish3(1972)      2.05388 -1.16461e-006
log_F_devs_fish3(1973)       1.5746 2.72536e-006
log_F_devs_fish3(1974)       1.2464  3.2324e-006
log_F_devs_fish3(1975)     0.995822 1.59016e-006
log_F_devs_fish3(1976)      1.01903 8.56712e-007
log_F_devs_fish3(1977)     0.158244 1.83235e-006
log_F_devs_fish3(1978)    -0.542146 -1.68411e-007
log_F_devs_fish3(1979)    -0.397829 3.25811e-007
log_F_devs_fish3(1980)    -0.234976 7.27862e-007
log_F_devs_fish3(1981)    -0.565164 -8.39488e-007
log_F_devs_fish3(1982)    -0.567293 6.43719e-007
log_F_devs_fish3(1983)    -0.795496 -7.23196e-007
